"Variable","box0","box1","box2","box3","box4","box5","box6","box7","box8","box9","box10","box11","box12","box13","box14","box15","box16","box17","box18","box19","box20","box21","box22","box23","box24","box25"
"11","squid_N",4e-06,3e-06,4e-06,3e-06,3e-06,0.004207464,0.000681783,0.007375508,0.041029316,0.01319296,0.03443637,0.0002286,0.004550184,3e-06,0.006559864,0.033407268,1e-06,1e-06,0.018333455,0.00103578,0.00262979,6e-06,5e-06,3e-06,6e-06,6e-06
"12","pandalus_N",4e-06,3e-06,4e-06,3e-06,3e-06,3e-06,3e-06,2e-06,4e-06,0.002048096,3e-06,3e-06,4e-06,3e-06,2e-06,6e-06,1e-06,1e-06,5e-06,0.00987681,0.01678807,6e-06,5e-06,3e-06,6e-06,6e-06
"13","crangon_N",4e-06,3e-06,4e-06,3e-06,0.107231187,0.0708849,0.604383132,0.20370883,4e-06,0.000452856,0.054000147,0.244651509,0.11934424,0.587709351,1.637500168,6e-06,1e-06,1e-06,5e-06,5e-06,0.006775795,0.005398968,0.00975403,3e-06,6e-06,6e-06
"14","nephrops_N",4e-06,3e-06,4e-06,3e-06,3e-06,0.058755822,3e-06,2e-06,0.100052844,0.047197564,3e-06,0.01486767,0.00193332,3e-06,2e-06,6e-06,1e-06,1e-06,0.040815755,0.18596967,0.039823345,6e-06,5e-06,3e-06,6e-06,6e-06
"15","large_crabs_N",0,0.753541679,3.851665295,17.81860059,16.85397367,15.91185517,12.32521609,18.3189928,2.220199864,2.311232182,2.727524206,4.811724504,3.024187282,2.663218635,90.41089812,1.600461727,0,0,3.199628111,3.242232953,2.65351626,6.317335586,12.22430817,0,0,0
"16","small_epifauna_N",0,0,83.2605887,361.1069161,1073.113289,773.9167963,2177.388011,4930.169835,1684.574122,1074.779171,6408.529089,1872.251537,1235.553126,880.8240998,621.5381549,484.3555333,0,0,1327.980412,3220.296019,1599.51077,0,1135.074466,0,0,0
"17","sessile_epifauna_N",0,0,83.2605887,144.4427664,8525.288909,29.76603063,137.8093678,59.39963657,950.2725819,1239.286187,122.4559699,1378.185159,735.4482892,259.0659117,62.15381549,34.5968238,0,0,3000,2000,1548.73265,16.17163021,486.4604854,0,0,0
"18","epifaunal_macrobenthos_N",0,114.0071653,194.2460312,112.3277914,3848.066624,439.8108585,943.0893374,877.6650633,3258.282039,1108.735467,1999.81895,2406.412545,1006.598392,1571.434547,2561.740215,726.4260606,0,0,645.4507485,2271.946787,809.5094037,213.7933269,420.335898,0,0,0
"19","infaunal_macrobenthos_N",0,195.3689153,665.7412512,1443.682863,1509.528821,912.3542523,477.4928014,4670.361953,978.563876,1227.685685,2883.031035,8698.015176,3959.572027,897.6320688,1325.264355,1475.37,0,0,2378.071383,2256.36304,2142.859544,0,864.3727077,0,0,0
"20","small_infauna_N",0,0,0,184.4913461,1446.794573,1292.6473,1302.53878,3262.364221,3641.24294,1624.917653,3545.25781,2590.636643,3719.868008,1257.401779,4921.978199,1281.487664,0,0,3074.325778,3053.069983,1934.900325,0,1242.675587,0,0,0
"21","gelantinous_zoo_N",4e-06,3e-06,4e-06,3e-06,0.011029866,3e-06,3e-06,2e-06,6.236076908,1.34751426,0.201118743,0.113110224,3.14821978,3.551276535,2e-06,0.890404098,1e-06,1e-06,2.646153495,2.192227965,0.61905326,0.037859028,5e-06,3e-06,6e-06,6e-06
"22","benthic_microflora_N",0,0.747014949,0.44638181,0.573119734,0.537178368,0.478473977,0.434353627,0.680866582,0.530238702,0.48130342,0.479867217,0.487980628,0.498987568,0.430391469,0.856597665,0.519690548,0,0,0.45774077,0.440088104,0.487053107,0.642892636,0.548132278,0,0,0
"23","meiofauna_N",0,0,0,0,0.910992599,0.607135846,0.794616689,2.379283507,0.423311233,0.23831297,0.554488581,0.545804705,0.367661127,0.528415103,3.322148439,0.001217871,0,0,0.013811708,0.00792658,0.099648091,0,0.381282329,0,0,0
"24","micro_zoo_N",7.005351764,9.302002536,9.603318345,14.876987163,6.808747461,8.796617946,8.709991027,11.01050504,5.224548089,5.2322948626,5.973365407,10.313740211,12.673247124,10.441753634,15.672445068,2.7950385862,2.3502089518,2.3648088795,3.1262120905,4.0105049657,5.3663930215,7.8538004103,11.200911345,6.0684460688,2.4880187992,2.953246788
